,Start_blink,End_blink,Blink_frame,No_of_frames
592,46132,46134,46133,2
593,46189,46192,46189,3
594,46223,46225,46223,2
595,46310,46313,46311,3
596,46344,46347,46345,3
597,46399,46402,46400,3
598,46494,46497,46495,3
599,46531,46533,46531,2
600,46585,46588,46586,3
601,46622,46624,46623,2
602,46690,46692,46691,2
603,46724,46727,46725,3
604,46760,46762,46760,2
605,46863,46866,46864,3
606,46882,46884,46883,2
607,46994,46997,46995,3
608,47002,47006,47004,4
609,47122,47125,47123,3
610,47179,47184,47181,5
611,47305,47310,47307,5
612,47316,47321,47317,5
613,47375,47378,47376,3
614,47428,47432,47431,4
615,47459,47463,47461,4
616,47495,47499,47496,4
617,47595,47596,47595,1
618,47651,47654,47652,3
619,47707,47709,47707,2
620,47770,47773,47771,3
621,47814,47818,47816,4
622,47897,47899,47898,2
623,47930,47933,47930,3
624,48028,48030,48028,2
625,48039,48041,48040,2
626,48150,48152,48150,2
627,48208,48213,48208,5
628,48238,48244,48239,6
629,48297,48299,48297,2
630,48305,48308,48306,3
631,48332,48342,48335,10
632,48348,48352,48349,4
633,48411,48415,48412,4
634,48447,48450,48448,3
635,48479,48483,48480,4
636,48490,48492,48491,2
637,48534,48537,48534,3
638,48566,48571,48568,5
639,48607,48612,48610,5
640,48620,48624,48621,4
641,48656,48659,48657,3
642,48666,48671,48668,5
643,48724,48728,48725,4
644,48761,48766,48764,5
645,48831,48833,48832,2
646,48882,48884,48882,2
647,48995,49000,48996,5
648,49040,49045,49043,5
649,49096,49100,49099,4
650,49136,49142,49138,6
651,49150,49153,49150,3
652,49190,49193,49191,3
653,49217,49222,49219,5
654,49272,49275,49273,3
655,49284,49288,49285,4
656,49329,49332,49330,3
657,49384,49389,49388,5
658,49399,49403,49401,4
659,49475,49479,49476,4
660,49497,49501,49499,4
661,49555,49560,49559,5
662,49604,49608,49606,4
663,49672,49675,49673,3
664,49734,49737,49735,3
665,49778,49782,49779,4
666,49790,49794,49792,4
667,49824,49828,49826,4
668,49868,49871,49869,3
669,49887,49892,49889,5
670,49954,49958,49956,4
671,50016,50020,50018,4
672,50052,50056,50053,4
673,50090,50093,50092,3
674,50100,50105,50101,5
675,50133,50136,50134,3
676,50161,50166,50163,5
677,50195,50199,50197,4
678,50231,50236,50232,5
679,50277,50281,50277,4
680,50312,50317,50315,5
681,50345,50350,50348,5
682,50364,50369,50365,5
683,50424,50428,50425,4
684,50472,50477,50473,5
685,50494,50498,50496,4
686,50528,50533,50531,5
687,50568,50573,50570,5
688,50621,50625,50622,4
689,50653,50657,50656,4
690,50685,50690,50688,5
691,50709,50714,50712,5
692,50749,50754,50750,5
693,50874,50879,50877,5
694,50918,50921,50919,3
695,50931,50935,50933,4
696,51002,51006,51004,4
697,51016,51020,51017,4
698,51051,51056,51052,5
699,51152,51156,51153,4
700,51196,51200,51198,4
701,51211,51215,51214,4
702,51279,51282,51280,3
703,51337,51338,51337,1
704,51382,51386,51383,4
705,51509,51513,51511,4
706,51526,51531,51530,5
707,51617,51627,51618,10
708,51682,51689,51685,7
709,51730,51733,51731,3
710,51749,51753,51750,4
711,51812,51821,51815,9
712,51847,51851,51850,4
713,51933,51940,51934,7
714,51976,51984,51978,8
715,52158,52159,52158,1
716,52176,52181,52177,5
717,52360,52364,52362,4
718,52584,52602,52586,18
719,52637,52642,52639,5
720,52694,52706,52694,12
721,52763,52765,52763,2
722,52946,52950,52948,4
723,52964,52968,52965,4
724,53001,53004,53002,3
725,53041,53054,53042,13
726,53126,53137,53127,11
727,53283,53285,53283,2
728,53319,53322,53320,3
729,53422,53426,53424,4
730,53541,53542,53541,1
731,53604,53607,53604,3
732,53639,53644,53640,5
733,53673,53678,53674,5
734,53725,53728,53726,3
735,53809,53815,53809,6
736,53918,53923,53919,5
737,53951,53954,53952,3
738,53989,53992,53990,3
739,54050,54053,54051,3
740,54060,54063,54060,3
741,54121,54125,54122,4
742,54199,54202,54200,3
743,54225,54229,54226,4
744,54286,54291,54288,5
745,54307,54309,54307,2
746,54377,54381,54377,4
747,54415,54419,54415,4
748,54430,54435,54432,5
749,54543,54549,54545,6
750,54576,54579,54577,3
751,54673,54675,54674,2
752,54735,54737,54736,2
753,54744,54747,54746,3
754,54804,54808,54806,4
755,54835,54839,54836,4
756,54943,54946,54943,3
757,54966,54969,54967,3
758,55027,55031,55030,4
759,55099,55103,55101,4
760,55218,55220,55218,2
761,55270,55274,55271,4
762,55360,55365,55362,5
763,55388,55392,55390,4
764,55444,55449,55444,5
765,55481,55486,55482,5
766,55508,55512,55510,4
767,55533,55536,55534,3
768,55584,55587,55586,3
769,55703,55705,55704,2
770,55714,55718,55715,4
771,55723,55728,55725,5
772,55759,55763,55761,4
773,55776,55778,55777,2
774,55988,55991,55988,3
775,56099,56100,56099,1
776,56167,56168,56167,1
777,56177,56181,56179,4
778,56237,56243,56239,6
779,56250,56254,56251,4
780,56297,56301,56297,4
781,56339,56343,56339,4
782,56423,56428,56425,5
783,56536,56539,56537,3
784,56649,56652,56649,3
785,56700,56702,56701,2
786,56776,56780,56778,4
787,56815,56820,56816,5
788,56934,56937,56934,3
789,56968,56972,56971,4
790,57000,57003,57001,3
791,57027,57031,57029,4
792,57037,57041,57039,4
793,57076,57080,57079,4
794,57125,57128,57126,3
795,57136,57139,57137,3
796,57200,57202,57200,2
797,57211,57213,57211,2
798,57252,57256,57253,4
799,57261,57266,57263,5
800,57305,57307,57305,2
801,57332,57337,57333,5
802,57341,57346,57343,5
803,57363,57368,57365,5
804,57400,57414,57402,14
805,57596,57599,57597,3
806,57612,57616,57613,4
807,57709,57713,57711,4
808,57719,57722,57720,3
809,57753,57757,57754,4
810,57790,57795,57791,5
811,57848,57850,57848,2
812,57896,57898,57897,2
813,57952,57954,57953,2
814,57963,57965,57964,2
815,57999,58006,58003,7
816,58016,58021,58018,5
817,58096,58100,58097,4
818,58119,58124,58122,5
819,58157,58160,58158,3
820,58196,58200,58197,4
821,58228,58232,58229,4
822,58306,58309,58306,3
823,58323,58328,58325,5
824,58358,58363,58358,5
825,58696,58699,58696,3
826,58746,58750,58747,4
827,58804,58809,58806,5
828,58814,58819,58816,5
829,58892,58896,58893,4
830,58935,58939,58937,4
831,59136,59139,59137,3
832,59358,59364,59360,6
833,59490,59494,59491,4
834,59582,59587,59585,5
835,59598,59608,59600,10
836,59681,59684,59683,3
837,59726,59731,59727,5
838,59844,59846,59845,2
839,59852,59855,59854,3
840,59902,59908,59905,6
841,60009,60012,60010,3
842,60067,60069,60068,2
843,60096,60101,60097,5
844,60173,60176,60174,3
845,60237,60240,60238,3
846,60247,60250,60248,3
847,60281,60284,60282,3
848,60620,60624,60621,4
849,60680,60684,60681,4
850,60956,60962,60956,6
851,61090,61092,61091,2
852,61120,61136,61122,16
853,61222,61224,61223,2
854,61368,61372,61371,4
855,61401,61405,61402,4
856,61499,61502,61500,3
857,61580,61583,61581,3
858,61725,61728,61726,3
859,61957,61971,61959,14
860,61982,61999,61984,17
861,62000,62001,62000,1
862,62017,62022,62019,5
863,62053,62054,62053,1
864,62066,62069,62067,3
865,62169,62174,62172,5
866,62270,62274,62271,4
867,62337,62340,62338,3
868,62364,62367,62364,3
869,62493,62516,62494,23
870,62593,62599,62595,6
871,62660,62666,62662,6
872,62745,62747,62746,2
873,62774,62778,62775,4
874,62843,62845,62843,2
875,62919,62922,62920,3
876,62975,62978,62976,3
877,63060,63063,63062,3
878,63256,63258,63256,2
879,63329,63346,63333,17
880,63404,63406,63404,2
881,63443,63451,63444,8
882,63506,63510,63507,4
883,63539,63540,63539,1
884,63587,63589,63588,2
885,63620,63623,63621,3
886,63639,63643,63640,4
887,63694,63697,63695,3
888,63716,63720,63718,4
889,63768,63774,63772,6
890,63812,63816,63813,4
891,63841,63846,63843,5
892,63863,63866,63864,3
893,63982,63986,63983,4
894,64263,64265,64264,2
895,64328,64332,64330,4
896,64415,64418,64415,3
897,64558,64561,64558,3
898,64569,64571,64569,2
899,64606,64609,64607,3
900,64615,64619,64616,4
901,64730,64732,64731,2
902,64768,64770,64768,2
903,64828,64830,64828,2
904,64853,64855,64854,2
905,64901,64904,64902,3
906,64976,64979,64976,3
907,65026,65027,65026,1
908,65050,65053,65052,3
909,65060,65062,65061,2
910,65124,65126,65124,2
911,65186,65190,65188,4
912,65229,65232,65230,3
913,65292,65296,65293,4
914,65305,65308,65306,3
915,65360,65363,65362,3
916,65396,65400,65399,4
917,65421,65424,65421,3
918,65483,65484,65483,1
919,65535,65539,65537,4
920,65572,65574,65573,2
921,65600,65603,65601,3
922,65652,65654,65653,2
923,65709,65713,65711,4
924,65797,65800,65797,3
925,65806,65808,65806,2
926,65838,65842,65840,4
927,65896,65899,65897,3
928,65926,65929,65927,3
929,65962,65966,65963,4
930,65995,65998,65995,3
931,66034,66035,66034,1
932,66055,66059,66057,4
933,66101,66103,66102,2
934,66111,66116,66113,5
935,66143,66147,66144,4
936,66171,66176,66172,5
937,66191,66193,66192,2
938,66308,66312,66311,4
939,66428,66430,66429,2
940,66515,66519,66517,4
941,66533,66536,66533,3
942,66635,66638,66636,3
943,66646,66649,66646,3
944,66694,66698,66697,4
945,66708,66713,66710,5
946,66751,66755,66753,4
947,66805,66811,66809,6
948,66835,66838,66835,3
949,66881,66883,66882,2
950,66916,66920,66917,4
951,67009,67013,67010,4
952,67061,67065,67063,4
953,67089,67094,67092,5
954,67112,67114,67113,2
955,67187,67193,67190,6
956,67244,67248,67245,4
957,67295,67300,67296,5
958,67351,67356,67352,5
959,67368,67373,67370,5
960,67448,67450,67449,2
961,67465,67470,67466,5
962,67593,67595,67594,2
963,67613,67621,67617,8
964,67832,67834,67833,2
965,67879,67883,67882,4
966,68087,68092,68089,5
967,68117,68121,68118,4
968,68170,68172,68170,2
969,68184,68186,68184,2
970,68209,68213,68209,4
971,68243,68245,68244,2
972,68255,68258,68256,3
973,68313,68315,68314,2
974,68343,68347,68343,4
975,68381,68384,68382,3
976,68420,68424,68422,4
977,68498,68501,68498,3
978,68525,68528,68525,3
979,68554,68558,68555,4
980,68573,68576,68574,3
981,68601,68605,68602,4
982,68727,68728,68727,1
983,68764,68767,68765,3
984,68816,68819,68817,3
985,68862,68865,68863,3
986,69170,69172,69171,2
987,69187,69189,69187,2
988,69267,69269,69267,2
989,69313,69316,69313,3
990,69336,69338,69337,2
991,69349,69353,69351,4
992,69373,69375,69374,2
993,69420,69422,69420,2
994,69445,69447,69446,2
995,69479,69483,69481,4
996,69518,69522,69520,4
997,69596,69600,69597,4
998,69643,69647,69645,4
999,69675,69678,69677,3
1000,69714,69719,69716,5
1001,69794,69796,69794,2
1002,69885,69889,69887,4
1003,69953,69956,69954,3
1004,70056,70059,70058,3
1005,70113,70115,70114,2
1006,70194,70196,70195,2
1007,70206,70209,70208,3
