,Start_blink,End_blink,Blink_frame,No_of_frames
585,57059,57064,57059,5
586,57165,57170,57166,5
587,57225,57228,57225,3
588,57276,57279,57276,3
589,57324,57335,57324,11
590,57345,57350,57345,5
591,57446,57455,57448,9
592,57563,57570,57565,7
593,57611,57629,57611,18
594,57891,57893,57891,2
595,57921,57923,57921,2
596,57990,57993,57990,3
597,58202,58207,58202,5
598,58219,58225,58222,6
599,58294,58300,58294,6
600,58446,58452,58447,6
601,58487,58507,58487,20
602,58546,58550,58546,4
603,58589,58596,58589,7
604,58727,58732,58729,5
605,58764,58770,58766,6
606,59165,59169,59165,4
607,59270,59275,59270,5
608,59345,59356,59347,11
609,59402,59413,59402,11
610,59448,59478,59448,30
611,59539,59544,59541,5
612,59578,59582,59578,4
613,59668,59670,59668,2
614,59741,59752,59741,11
615,59782,59790,59783,8
616,59909,59913,59911,4
617,59968,59971,59968,3
618,60017,60025,60019,8
619,60326,60333,60326,7
620,60436,60439,60436,3
621,60605,60610,60605,5
622,60627,60631,60629,4
623,60701,60706,60701,5
624,60768,60778,60768,10
625,61068,61074,61070,6
626,61091,61098,61094,7
627,61585,61590,61585,5
628,61630,61635,61632,5
629,61706,61711,61708,5
630,61840,61880,61840,40
631,61947,61951,61947,4
632,62009,62012,62009,3
633,62041,62051,62041,10
634,62082,62086,62082,4
635,62135,62138,62135,3
636,62201,62209,62204,8
637,62249,62252,62249,3
638,62271,62274,62271,3
639,62328,62333,62328,5
640,62388,62392,62388,4
641,62450,62453,62450,3
642,62496,62499,62496,3
643,62591,62594,62591,3
644,62631,62634,62631,3
645,62667,62675,62667,8
646,62710,62715,62712,5
647,62755,62777,62755,22
648,62887,62901,62887,14
649,62902,62905,62902,3
650,62913,62918,62915,5
651,62973,62976,62973,3
652,63018,63021,63018,3
653,63211,63215,63211,4
654,63227,63228,63227,1
655,63278,63282,63278,4
656,63515,63534,63516,19
657,63740,63742,63740,2
658,63832,63836,63832,4
659,64024,64027,64024,3
660,64062,64070,64062,8
661,64174,64182,64176,8
662,64238,64241,64238,3
663,64340,64352,64342,12
664,64440,64445,64442,5
665,64455,64490,64455,35
666,64532,64537,64534,5
667,64579,64582,64579,3
668,64637,64644,64637,7
669,64763,64767,64763,4
670,64840,64845,64840,5
671,64883,64887,64885,4
672,64916,64919,64916,3
673,64982,64988,64984,6
674,65048,65051,65048,3
675,65101,65104,65101,3
676,65127,65132,65129,5
677,65173,65181,65173,8
678,65214,65219,65214,5
679,65277,65283,65279,6
680,65346,65349,65346,3
681,65377,65379,65377,2
682,65451,65454,65451,3
683,65465,65470,65467,5
684,65518,65522,65519,4
685,65574,65578,65574,4
686,65613,65616,65613,3
687,65671,65676,65671,5
688,65705,65707,65705,2
689,65742,65746,65742,4
690,65982,65987,65984,5
691,66212,66216,66212,4
692,66225,66230,66225,5
693,66331,66337,66331,6
694,66402,66405,66402,3
695,66442,66448,66444,6
696,66465,66471,66468,6
697,66493,66499,66496,6
698,66629,66633,66629,4
699,66672,66674,66672,2
700,66758,66763,66758,5
701,66832,66836,66832,4
702,66866,66870,66866,4
703,66954,66958,66954,4
704,67012,67017,67014,5
705,67029,67031,67029,2
706,67123,67128,67125,5
707,67183,67188,67184,5
708,67336,67340,67336,4
709,67440,67445,67442,5
710,67511,67515,67511,4
711,67611,67615,67611,4
712,67656,67660,67656,4
713,67733,67737,67733,4
714,67861,67865,67861,4
715,67899,67903,67901,4
716,67928,67931,67928,3
717,68083,68085,68083,2
718,68105,68108,68105,3
719,68141,68143,68141,2
720,68172,68175,68172,3
721,68211,68215,68212,4
722,68248,68250,68248,2
723,68282,68285,68282,3
