FN,EAR_L,EAR_R,EAR,P1,P2,P3,P4,P5,P6,NOSE_x,NOSE_y,TIMESTAMP
897,0.38108748434117584,0.3502130574771419,0.36565027090915886,[0.50260228 0.46783033],[0.51010227 0.45823896],[0.51804918 0.45765993],[0.52521908 0.46271786],[0.51791471 0.46599057],[0.510144   0.46758002],0.4823087751865387,0.5045000314712524,1663315643716
898,0.365719068529325,0.3557271812790102,0.3607231249041676,[0.50103784 0.46835861],[0.50829762 0.4587394 ],[0.51618987 0.45815638],[0.52336317 0.46331772],[0.51593536 0.46601045],[0.5083431  0.46762177],0.4803391993045807,0.5038824677467346,1663315643749
899,0.3660170128474953,0.33072493781219914,0.34837097532984723,[0.50040728 0.46748358],[0.5074684  0.45820433],[0.51533645 0.45740008],[0.52271551 0.46221283],[0.51534259 0.46529227],[0.50771874 0.46708861],0.4803483188152313,0.5035538673400879,1663315643778
900,0.3749520015869896,0.3872818722920609,0.38111693693952525,[0.49813446 0.46702331],[0.50539255 0.45744956],[0.51335698 0.45666844],[0.52061343 0.46131924],[0.51339859 0.46479127],[0.50570881 0.46671253],0.4774239957332611,0.5027901530265808,1663315643807
901,0.32977728671506246,0.3146089380853605,0.3221931124002115,[0.49946186 0.4659023 ],[0.50627249 0.45657191],[0.51435483 0.45504579],[0.52241081 0.45974085],[0.51445645 0.46263608],[0.50668389 0.46464258],0.477669358253479,0.5015395879745483,1663315643839
902,0.3155951731602486,0.3234716662236425,0.31953341969194554,[0.49921235 0.46679822],[0.50657034 0.45796534],[0.51474315 0.45654169],[0.52241153 0.4607648 ],[0.51470965 0.46386245],[0.50674766 0.46577269],0.47724395990371704,0.5024130940437317,1663315643870
903,0.34516464770767386,0.2933673277920547,0.31926598774986426,[0.49959421 0.4640457 ],[0.50706172 0.45489407],[0.51541609 0.45401755],[0.52310604 0.45944303],[0.51525259 0.4620153 ],[0.50719702 0.46343255],0.47757309675216675,0.49845319986343384,1663315643900
904,0.3080163669743433,0.3247370083499728,0.3163766876621581,[0.49733925 0.46855047],[0.50503784 0.46018061],[0.51333207 0.45887867],[0.52090204 0.46282825],[0.51319009 0.46622598],[0.50506198 0.46776924],0.47550931572914124,0.5059558153152466,1663315643933
905,0.30712801871818657,0.36502452412900604,0.3360762714235963,[0.49561524 0.47232497],[0.50284296 0.4636634 ],[0.51113021 0.46223348],[0.518861   0.46657315],[0.51095045 0.46948686],[0.50292647 0.47111678],0.47358134388923645,0.5113676190376282,1663315643964
906,0.37966518721509573,0.29520951060612133,0.3374373489106085,[0.49346668 0.46722212],[0.50060362 0.45693141],[0.50907785 0.45478383],[0.51718104 0.45960248],[0.50926459 0.46426567],[0.50105006 0.46635088],0.4712471067905426,0.5053720474243164,1663315643997
907,0.3605418895505728,0.3562552931174696,0.3583985913340212,[0.49342519 0.46400478],[0.49986154 0.45324826],[0.50788206 0.45073542],[0.51624042 0.45534572],[0.50792128 0.45954534],[0.50018024 0.46202919],0.46974673867225647,0.4999803602695465,1663315644026
908,0.38047184292306546,0.2919849222638172,0.33622838259344134,[0.49393681 0.46330404],[0.50044268 0.45291841],[0.50839269 0.45084611],[0.5164113  0.45540693],[0.50843871 0.45984921],[0.50073677 0.46203732],0.47151824831962585,0.4992319941520691,1663315644058
909,0.34945124659443977,0.3195421878625698,0.3344967172285048,[0.49539834 0.4635945 ],[0.50151622 0.45327479],[0.50928521 0.45030087],[0.51762879 0.45461974],[0.50973833 0.45869628],[0.50210738 0.4616015 ],0.47260597348213196,0.4962097108364105,1663315644089
910,0.383196452594199,0.20213141550780414,0.29266393405100155,[0.49644697 0.46182045],[0.50249434 0.4515222 ],[0.51024842 0.44898444],[0.51836878 0.45392081],[0.51068753 0.45788196],[0.50313562 0.46044913],0.47379469871520996,0.49393174052238464,1663315644125
911,0.34345014646676086,0.2976207274500824,0.3205354369584216,[0.49901071 0.46277553],[0.50532317 0.45320433],[0.51301092 0.45069575],[0.52103823 0.45493802],[0.51331419 0.45872107],[0.50572026 0.46122339],0.4753125011920929,0.49425873160362244,1663315644159
912,0.3691358347035865,0.3430991155825418,0.35611747514306413,[0.49956158 0.4621028 ],[0.50621152 0.45238954],[0.51392031 0.45003933],[0.52182907 0.45392591],[0.5141592  0.45876533],[0.50643158 0.46117032],0.47672754526138306,0.4950072169303894,1663315644191
913,0.3430222405872348,0.32819587936724703,0.3356090599772409,[0.50045979 0.4619008 ],[0.50721604 0.45273262],[0.51485658 0.45110431],[0.52242804 0.45535031],[0.51459605 0.45892182],[0.50706643 0.46063629],0.4767051935195923,0.4986816942691803,1663315644222
914,0.3622234405614859,0.30734382828013423,0.33478363442081005,[0.49986094 0.46154433],[0.50676316 0.45245874],[0.51443881 0.4507553 ],[0.52191675 0.45490122],[0.51413012 0.45909572],[0.50658065 0.46079791],0.47675660252571106,0.49753910303115845,1663315644253
915,0.3594348716387314,0.3232975734100949,0.3413662225244132,[0.49937993 0.4630039 ],[0.50573301 0.45304361],[0.51359338 0.45113713],[0.5215705 0.4562749],[0.5133872  0.45949394],[0.50589156 0.46135217],0.4753834009170532,0.4979487657546997,1663315644281
916,0.3513556842579909,0.34599542546276657,0.3486755548603787,[0.49869347 0.46148676],[0.50511074 0.45168957],[0.51275074 0.44991663],[0.52051562 0.45449412],[0.51243836 0.45789829],[0.50504941 0.4598043 ],0.47550690174102783,0.49661028385162354,1663315644309
917,0.388382311228773,0.35997653737016766,0.3741794242994703,[0.4973717  0.46163252],[0.50389522 0.4511238 ],[0.51165664 0.4493598 ],[0.51923615 0.4544923 ],[0.51132137 0.45820892],[0.50384706 0.46013442],0.47406843304634094,0.49752336740493774,1663315644344
918,0.3587666459409412,0.36407662903624144,0.36142163748859135,[0.49693236 0.46147749],[0.50301677 0.45123214],[0.51048195 0.44920012],[0.51835531 0.45400241],[0.51027763 0.45725179],[0.50300407 0.45945844],0.47360697388648987,0.49521690607070923,1663315644374
919,0.3564263265869516,0.4066670733802706,0.3815466999836111,[0.49645409 0.45974371],[0.50225133 0.44999933],[0.5094111  0.44820231],[0.51702416 0.45273167],[0.50920266 0.45578766],[0.50229329 0.457903  ],0.4738174378871918,0.49582499265670776,1663315644406
920,0.38270021621705697,0.36069986351356764,0.3717000398653123,[0.49547699 0.46020269],[0.50209159 0.45018476],[0.50958419 0.44822186],[0.51718587 0.45263603],[0.50958633 0.45690158],[0.50213528 0.45910132],0.47253596782684326,0.4954347610473633,1663315644440
921,0.3366225807877101,0.338428703206505,0.33752564199710755,[0.49601859 0.4600344 ],[0.50196308 0.45005623],[0.50940752 0.44766134],[0.51746458 0.45215824],[0.50939417 0.45530996],[0.50216687 0.45778623],0.47274085879325867,0.49544671177864075,1663315644477
922,0.38970107166102913,0.3107601202772887,0.35023059596915895,[0.49717787 0.46035576],[0.50304258 0.4500306 ],[0.51041234 0.44791606],[0.51829618 0.45273334],[0.51046157 0.45652881],[0.50330526 0.45891282],0.47433900833129883,0.49340128898620605,1663315644515
923,0.3645707293278928,0.3167708787750522,0.34067080405147254,[0.49827167 0.46385917],[0.50415438 0.45407957],[0.51135188 0.45203695],[0.5191201  0.45650119],[0.51142508 0.45993775],[0.50433773 0.46229678],0.47514382004737854,0.49651145935058594,1663315644548
924,0.3590944159777644,0.3073273220964807,0.3332108690371226,[0.49931321 0.46048373],[0.50529516 0.45086232],[0.5126254  0.44879636],[0.52037346 0.4532024 ],[0.51250684 0.45673305],[0.50535005 0.45892829],0.47634339332580566,0.49365490674972534,1663315644579
925,0.37565108367002153,0.32859311703995037,0.3521221003549859,[0.49817207 0.45906594],[0.50430882 0.44946092],[0.51174951 0.44744843],[0.51960236 0.45178181],[0.51195526 0.45576251],[0.50462383 0.45814386],0.4760788381099701,0.4918764531612396,1663315644609
926,0.35995512433109433,0.3189681852623592,0.33946165479672674,[0.49858326 0.45869309],[0.50445467 0.4492324 ],[0.51181018 0.44716528],[0.5196712  0.45145553],[0.5120042  0.45499095],[0.50483757 0.45744607],0.4763331413269043,0.4920087456703186,1663315644642
927,0.340823449253856,0.36729519329629723,0.3540593212750766,[0.49775684 0.4625251 ],[0.50351489 0.45294857],[0.5107857 0.4511385],[0.51863873 0.45599499],[0.51086652 0.4583562 ],[0.50388384 0.46063539],0.4745829999446869,0.4962198734283447,1663315644668
