FN,EAR_L,EAR_R,EAR,P1,P2,P3,P4,P5,P6,TIMESTAMP
92,0.20555579426491785,0.2794174247994649,0.24248660953219137,[0.54047507 0.30612209],[0.5600909  0.30156583],[0.57881862 0.30482244],[0.59274578 0.31088901],[0.57398379 0.31435472],[0.55564195 0.31150556],1663674139260
93,0.21354660476837112,0.2818856134147882,0.24771610909157965,[0.5401749  0.30791813],[0.56186771 0.30358583],[0.58190966 0.30716833],[0.59572661 0.31342441],[0.57653123 0.31767881],[0.55685872 0.3145293 ],1663674139280
94,0.19976612600829521,0.28993866853010997,0.2448523972692026,[0.53804696 0.31011397],[0.55926758 0.30654591],[0.57952595 0.30983892],[0.59345728 0.3152833 ],[0.57413232 0.31963462],[0.55444282 0.31648907],1663674139305
95,0.21123363175542273,0.3095061241031188,0.26036987792927074,[0.53637815 0.30983499],[0.5576055  0.30555525],[0.57764822 0.30868638],[0.59141457 0.31435192],[0.57209843 0.31897357],[0.55270272 0.31611294],1663674139328
96,0.2090194341078831,0.2814239097251143,0.24522167191649868,[0.53521311 0.30600104],[0.55630332 0.30188745],[0.57629484 0.30523121],[0.59039408 0.31096807],[0.57058936 0.31535655],[0.55107665 0.31217471],1663674139348
97,0.22141617269886985,0.2682021188662717,0.2448091457825708,[0.53446108 0.30564627],[0.55464035 0.30063739],[0.57391918 0.30336887],[0.58773369 0.30908746],[0.56879711 0.31400034],[0.55003136 0.31154239],1663674139369
98,0.2193042993238411,0.263387143082515,0.24134572120317804,[0.53487527 0.30657825],[0.55458528 0.30153552],[0.57305747 0.30479291],[0.58646041 0.31079587],[0.56799185 0.31469184],[0.54994863 0.31214827],1663674139391
99,0.2250200873325668,0.2730315922464401,0.24902583978950343,[0.53508949 0.30383775],[0.5550406  0.29880172],[0.57392436 0.30180362],[0.5870297  0.30767733],[0.56854129 0.31215927],[0.55036032 0.30959871],1663674139412
100,0.2092894786663021,0.31661863796425593,0.262954058315279,[0.53431821 0.30177295],[0.55432439 0.29727077],[0.57349008 0.30004647],[0.58711392 0.30533797],[0.56812418 0.3098065 ],[0.54972535 0.30727607],1663674139431
101,0.22069583286577613,0.30617888663142734,0.2634373597486017,[0.53207099 0.30606693],[0.55236495 0.30063787],[0.57194376 0.30349016],[0.58582187 0.30970863],[0.56690001 0.31418264],[0.54793602 0.3117446 ],1663674139454
102,0.21627174301234978,0.28245612220261196,0.24936393260748085,[0.52525455 0.30785778],[0.54530829 0.30205652],[0.56436807 0.30445841],[0.57818937 0.31034249],[0.55963486 0.31480604],[0.54104084 0.31278175],1663674139475
103,0.21604371314606868,0.2630952201406679,0.23956946664336828,[0.52377927 0.30493006],[0.54470587 0.29926878],[0.56461573 0.30205557],[0.57886988 0.30810168],[0.559798   0.31280744],[0.54024845 0.31047639],1663674139497
104,0.20894144411714752,0.25874179467305086,0.23384161939509918,[0.52008373 0.30106917],[0.54067898 0.29594368],[0.56000704 0.29837057],[0.57403415 0.3033956 ],[0.55515712 0.30846149],[0.53613442 0.30636597],1663674139520
105,0.22307570779385089,0.28813651498633025,0.2556061113900906,[0.51689398 0.29879722],[0.53617674 0.29268751],[0.55477399 0.29500279],[0.56852877 0.30060229],[0.54987431 0.30528662],[0.53179818 0.30349374],1663674139541
106,0.195509148716999,0.2603045288298022,0.22790683877340062,[0.51156801 0.2966474 ],[0.53067696 0.29163149],[0.54913074 0.2937907 ],[0.56305921 0.29859921],[0.54465681 0.3026008 ],[0.5265196  0.30101964],1663674139562
107,0.2137959356013405,0.2961091781020172,0.25495255685167884,[0.51229835 0.2938126 ],[0.53064471 0.28807193],[0.54875278 0.28994182],[0.56312072 0.29543489],[0.54444402 0.29992408],[0.52682513 0.29824856],1663674139582
108,0.21948959070950824,0.2696349592506071,0.24456227498005767,[0.51147681 0.29355645],[0.5300886  0.28778633],[0.54811984 0.28947681],[0.56232291 0.29455823],[0.5439375  0.29973447],[0.52625889 0.29836142],1663674139601
109,0.1989681549178585,0.2952924161040203,0.2471302855109394,[0.51133406 0.29297212],[0.53119141 0.28821033],[0.54993033 0.29044661],[0.56442535 0.29541063],[0.54539847 0.29994068],[0.52679688 0.29788834],1663674139621
110,0.19432351721089527,0.29957189158747644,0.24694770439918584,[0.50971812 0.29225621],[0.52942455 0.28742445],[0.54832047 0.28950664],[0.56258452 0.29420143],[0.54340488 0.29863819],[0.5249666  0.29658726],1663674139640
111,0.20034855871737095,0.313990942709971,0.257169750713671,[0.51220864 0.29025486],[0.53047234 0.28485379],[0.5485267  0.28689516],[0.5626834  0.29186195],[0.54427564 0.29595539],[0.52674419 0.29437745],1663674139662
112,0.18926659529792145,0.30078770658383563,0.24502715094087854,[0.51810402 0.28772676],[0.53613293 0.28297487],[0.55400777 0.28489864],[0.56856853 0.28959385],[0.5501039 0.2935544],[0.53248829 0.29187793],1663674139685
113,0.17890976775991527,0.21934974666790796,0.19912975721391163,[0.51995808 0.2883189 ],[0.53939879 0.28470713],[0.55814523 0.28717142],[0.57267278 0.29181936],[0.55338752 0.29535818],[0.53491729 0.29300994],1663674139705
114,0.17783183768710242,0.23775512047628217,0.2077934790816923,[0.51358074 0.29000807],[0.53248781 0.28605151],[0.55085653 0.2881335 ],[0.56571829 0.29294991],[0.54670376 0.29641637],[0.52848452 0.29445389],1663674139730
115,0.17503937242840284,0.2678201043682125,0.22142973839830768,[0.50666732 0.29020149],[0.5255149  0.28677526],[0.54389    0.28888714],[0.55843014 0.29265147],[0.53952962 0.29687276],[0.52142817 0.29484195],1663674139752
116,0.18632373489345597,0.3294498998203737,0.2578868173569148,[0.50249314 0.29559115],[0.52159274 0.29057366],[0.54066229 0.29188314],[0.55587864 0.29583001],[0.53680265 0.30117169],[0.51814365 0.29978472],1663674139776
117,0.18778631965397777,0.3228628907570545,0.25532460520551614,[0.50115067 0.30017814],[0.52105439 0.29491574],[0.54066133 0.29618227],[0.555861   0.30018792],[0.53702253 0.30583182],[0.51754355 0.30452961],1663674139799
118,0.17873647975228843,0.3062398232687853,0.24248815151053688,[0.50011343 0.30082402],[0.51997262 0.29615399],[0.53982466 0.29734713],[0.55537468 0.30096531],[0.53588241 0.3064988 ],[0.51634866 0.30524835],1663674139818
119,0.17478736115489046,0.28457196812422125,0.22967966463955586,[0.50150472 0.29734141],[0.52038944 0.2925702 ],[0.53944308 0.29338726],[0.55488014 0.29676515],[0.53599864 0.30215779],[0.51717269 0.30122915],1663674139837
120,0.20018469045357812,0.24830333480375563,0.2242440126286669,[0.50457299 0.29244971],[0.52383864 0.28752363],[0.54247844 0.28914449],[0.55742633 0.29389456],[0.53841734 0.29896903],[0.52003378 0.2973507 ],1663674139856
121,0.20911080694352002,0.2614016803237301,0.23525624363362507,[0.50817186 0.29204211],[0.52698696 0.28662977],[0.54534703 0.28812277],[0.55998576 0.29271838],[0.54094708 0.29800895],[0.52299035 0.29671735],1663674139875
