,File_name,MissingFrames_per_min,Blink_per_min,blink_duration_per_min,Perclose_per_min,Avg_EAR,Multiplication of 4 features,F*G,Windowsize 4,,average,,Duration normalize,
91,VIDEO_18112022145530_1668763530863_EAR.csv,0,19,3.89474,0.04111,0.44513,1.3542,0.0183,0.0281,0.0000,0.0282,0.0000,0.139097744360902,0.002545439597609
92,VIDEO_18112022145629_1668763589979_EAR.csv,0,17,3.23529,0.03056,0.45622,0.7667,0.0139,0.0220,0.0000,0.0280,0.0000,0.115546218487395,0.001610710106011
93,VIDEO_18112022145728_1668763648854_EAR.csv,0,8,2.75000,0.01222,0.49828,0.1340,0.0061,0.0168,0.0000,0.0278,0.0000,0.098214285714286,0.000598137828678
94,VIDEO_18112022145827_1668763707856_EAR.csv,921,9,6.00000,0.03000,0.16601,0.2689,0.0050,0.0108,0.0000,0.0275,0.0000,0.214285714285714,0.001067222209377
95,VIDEO_18112022145926_1668763766846_EAR.csv,1758,1,28.00000,0.01556,0.00630,0.0027,0.0001,0.0063,0.0000,0.0273,0.0000,1,9.80625294540691E-05
96,VIDEO_18112022150025_1668763825852_EAR.csv,1800,0,0.00000,0.00000,0.00000,0.0000,0.0000,0.0028,0.0000,0.0270,0.0000,0,0
97,VIDEO_18112022150124_1668763884851_EAR.csv,649,1,5.00000,0.00278,0.03645,0.0005,0.0001,0.0013,0.0000,0.0267,0.0000,0.178571428571429,1.80803711402627E-05
98,VIDEO_18112022155316_1668766996212_EAR.csv,1800,0,0.00000,0.00000,0.00000,0.0000,0.0000,0.0000,0.0000,0.0264,0.0000,0,0
99,VIDEO_18112022155415_1668767055991_EAR.csv,1800,0,0.00000,0.00000,0.00000,0.0000,0.0000,0.0000,0.0000,0.0262,0.0000,0,0
100,VIDEO_18112022155514_1668767114980_EAR.csv,1800,0,0.00000,0.00000,0.00000,0.0000,0.0000,0.0000,0.0000,0.0259,0.0000,0,0
101,VIDEO_18112022155613_1668767173980_EAR.csv,1800,0,0.00000,0.00000,0.00000,0.0000,0.0000,0.0000,0.0000,0.0257,0.0000,0,0
102,VIDEO_18112022155712_1668767232981_EAR.csv,287,31,13.00000,0.22389,0.28904,26.0796,0.0647,0.0162,1.0000,0.0260,1.0000,0.464285714285714,0.030045664763418
103,VIDEO_18112022155811_1668767291982_EAR.csv,19,40,5.45000,0.12111,0.41826,11.0429,0.0507,0.0288,1.0000,0.0263,1.0000,0.194642857142857,0.009859727854445
104,VIDEO_18112022155910_1668767350994_EAR.csv,207,15,4.73333,0.03944,0.43041,1.2054,0.0170,0.0331,0.0000,0.0262,0.0000,0.169047619047619,0.002869965336747
105,VIDEO_18112022160010_1668767410200_EAR.csv,0,10,2.80000,0.01556,0.46614,0.2030,0.0073,0.0349,0.0000,0.0260,0.0000,0.1,0.000725113429236
106,VIDEO_18112022160109_1668767469000_EAR.csv,0,0,0.00000,0.00000,0.00000,0.0000,0.0000,0.0187,0.0000,0.0258,0.0000,0,0
107,VIDEO_18112022160208_1668767528000_EAR.csv,0,10,5.40000,0.03000,0.35812,0.5801,0.0107,0.0087,1.0000,0.0256,0.0000,0.192857142857143,0.0020719579585
108,VIDEO_18112022160307_1668767587000_EAR.csv,0,16,4.06250,0.03611,0.45279,1.0628,0.0164,0.0086,1.0000,0.0255,0.0000,0.145089285714286,0.002372340357268
109,VIDEO_18112022160405_1668767645989_EAR.csv,0,15,2.53333,0.02111,0.41696,0.3345,0.0088,0.0090,0.0000,0.0254,0.0000,0.090476190476191,0.000796411570177
110,VIDEO_18112022160505_1668767705126_EAR.csv,0,14,5.64286,0.04389,0.43696,1.5150,0.0192,0.0138,1.0000,0.0253,0.0000,0.201530612244898,0.00386488698514
111,VIDEO_18112022160604_1668767764000_EAR.csv,0,23,3.39130,0.04333,0.45106,1.5246,0.0195,0.0160,1.0000,0.0253,0.0000,0.12111801242236,0.002367379555638
