,File_name,MissingFrames_per_min,Blink_per_min,blink_duration_per_min,Perclose_per_min,Avg_EAR,,,,
58,VIDEO_23112022105508_1669181108180_EAR.csv,0,8,3.625000,0.016111,0.433932,0.006991124787017,0.004124160340575,0.008118742788582,FALSE
59,VIDEO_23112022105607_1669181167167_EAR.csv,0,15,3.466667,0.028889,0.477980,0.01380832014717,0.006699191033568,0.008213569077892,TRUE
60,VIDEO_23112022105706_1669181226162_EAR.csv,0,8,4.000000,0.017778,0.482813,0.008583334970835,0.008239190438426,0.008219630813842,TRUE
61,VIDEO_23112022105805_1669181285171_EAR.csv,0,12,3.583333,0.023889,0.475489,0.011358897240271,0.010185419286323,0.008270264143301,TRUE
62,VIDEO_23112022105904_1669181344181_EAR.csv,0,2,2.000000,0.002222,0.477244,0.001060542823776,0.008702773795513,0.008155824122356,FALSE
63,VIDEO_23112022110003_1669181403170_EAR.csv,0,2,3.500000,0.003889,0.459850,0.001788307130038,0.00569777054123,0.008056331669351,FALSE
64,VIDEO_23112022110102_1669181462189_EAR.csv,0,8,3.625000,0.016111,0.457079,0.007364048809223,0.005392949000827,0.00804568116381,FALSE
65,VIDEO_23112022110201_1669181521309_EAR.csv,0,4,3.250000,0.007222,0.465666,0.003363143657743,0.003394010605195,0.00797473362584,FALSE
66,VIDEO_23112022110300_1669181580173_EAR.csv,0,10,3.400000,0.018889,0.460229,0.008693216011312,0.005302178902079,0.007985457243533,TRUE
67,VIDEO_23112022110359_1669181639177_EAR.csv,0,6,3.000000,0.010000,0.442598,0.004425984070163,0.00596159813711,0.007933112049807,FALSE
68,VIDEO_23112022110458_1669181698180_EAR.csv,0,5,3.600000,0.010000,0.428214,0.004282137894849,0.005191120408517,0.007880199380895,FALSE
69,VIDEO_23112022110557_1669181757193_EAR.csv,0,11,3.090909,0.018889,0.454665,0.008588108174948,0.006497361537818,0.007890312363667,TRUE
70,VIDEO_23112022110656_1669181816175_EAR.csv,0,5,3.800000,0.010556,0.439643,0.004640671272192,0.005484225353038,0.007844542770829,FALSE
71,VIDEO_23112022110755_1669181875180_EAR.csv,0,4,4.000000,0.008889,0.454167,0.004037043474971,0.00538699020424,0.007791660836165,FALSE
72,VIDEO_23112022110854_1669181934181_EAR.csv,0,4,4.250000,0.009444,0.427202,0.004034682736269,0.005325126414595,0.007740195382741,FALSE
73,VIDEO_23112022110953_1669181993178_EAR.csv,0,17,3.058824,0.028889,0.435798,0.012589729360838,0.006325531711067,0.007805729625689,TRUE
74,VIDEO_23112022111052_1669182052184_EAR.csv,0,6,3.000000,0.010000,0.484597,0.004845965044638,0.006376855154179,0.007766266097941,FALSE
75,VIDEO_23112022111151_1669182111165_EAR.csv,29,15,3.333333,0.027778,0.496436,0.013789886986169,0.008815066031978,0.007845524267523,TRUE
