FN,EAR_L,EAR_R,EAR,p1,p2,p3,p4,p5,p6
83,0.3486253317492276,0.3244952041644216,0.3365602679568246,[0.59898186 0.46336988],[0.62813687 0.44748348],[0.65434206 0.45131385],[0.66885477 0.46287411],[0.65097576 0.4740237 ],[0.62494147 0.47304672]
84,0.3770928141076767,0.32232002813186467,0.3497064211197707,[0.60026479 0.46335688],[0.6297946 0.445501 ],[0.65625012 0.44915316],[0.67053872 0.46149758],[0.65225768 0.47403377],[0.62609667 0.47307336]
85,0.38289144637200623,0.33849476317687394,0.36069310477444005,[0.60056484 0.46455109],[0.62991655 0.44626713],[0.65652966 0.44977653],[0.67088854 0.46209705],[0.65250981 0.47512594],[0.62631071 0.47425511]
86,0.3877120780412215,0.33687378962848546,0.3622929338348535,[0.60156006 0.46364585],[0.63123465 0.44496354],[0.65820295 0.44861037],[0.67261791 0.46102798],[0.65418899 0.47452635],[0.6276598  0.47365406]
87,0.3934493506614136,0.357026830630001,0.37523809064570735,[0.60143697 0.46440804],[0.63154376 0.44560483],[0.65860766 0.44940573],[0.67292833 0.4621222 ],[0.6544317  0.47587395],[0.62773693 0.47484767]
88,0.3844223570739283,0.33321120080032457,0.35881677893712643,[0.60189605 0.46403256],[0.63140047 0.44525591],[0.65840149 0.44891649],[0.67255014 0.46112311],[0.65423965 0.47427464],[0.62781012 0.47370088]
89,0.4067581766242276,0.37853119841873273,0.3926446875214802,[0.60176778 0.4630219 ],[0.63117927 0.44345674],[0.65831143 0.4470585 ],[0.67215246 0.45939955],[0.65381682 0.47384238],[0.62724698 0.47337592]
90,0.4116894506313287,0.37700730681125866,0.3943483787212937,[0.60181618 0.46207389],[0.63140225 0.44228297],[0.6586504  0.44623283],[0.67250544 0.45860618],[0.65408993 0.47340065],[0.62730336 0.47273445]
91,0.4087886368676405,0.3737995141551035,0.39129407551137196,[0.60152239 0.46200487],[0.63132769 0.44238567],[0.6588586  0.44636193],[0.67260975 0.45890215],[0.65436751 0.47347969],[0.62742168 0.47282368]
92,0.42118084895954716,0.3634917208756802,0.3923362849176137,[0.60305774 0.46366811],[0.63237739 0.44358498],[0.65934497 0.44755924],[0.67320651 0.46043783],[0.65446138 0.47522336],[0.62816733 0.47435972]
93,0.4187543032165955,0.36064034260317535,0.38969732290988546,[0.60315001 0.46235716],[0.63232619 0.44270605],[0.65943778 0.44679868],[0.67348343 0.45972091],[0.65501797 0.47441837],[0.62854755 0.47344983]
94,0.41808591255429095,0.3839221152591394,0.40100401390671514,[0.60327089 0.46172506],[0.63241547 0.44232202],[0.65946728 0.44665658],[0.67335469 0.45946157],[0.65490484 0.47399351],[0.62839973 0.47297773]
95,0.41489704617862827,0.3729009788477883,0.39389901251320825,[0.60391045 0.4631874 ],[0.63286418 0.44388363],[0.65927589 0.44800535],[0.67319894 0.46066207],[0.65463668 0.47482145],[0.62865382 0.47390878]
96,0.43032039602869904,0.3679476361231309,0.399134016075915,[0.60339141 0.46303409],[0.63263518 0.44323683],[0.6595608  0.44744962],[0.67332804 0.46059695],[0.65484887 0.47562701],[0.62844437 0.47461644]
97,0.42216604360721527,0.3640275888215606,0.39309681621438797,[0.60308552 0.4629541 ],[0.63249534 0.44295272],[0.65963829 0.44707146],[0.67352688 0.46023583],[0.6550386  0.47488201],[0.62848574 0.47402692]
98,0.4011634334706171,0.3691648416758717,0.3851641375732444,[0.60264009 0.46227479],[0.6326437  0.44339389],[0.65999943 0.44743004],[0.67407334 0.45999783],[0.65560383 0.47422448],[0.62866408 0.47331977]
99,0.4058870776271403,0.33985181996292874,0.37286944879503453,[0.60254806 0.4642069 ],[0.6330297  0.44449127],[0.66070682 0.44849202],[0.6746487  0.46126297],[0.65578163 0.47586235],[0.62865067 0.47494632]
