FN,EAR_L,EAR_R,EAR,MAR,MOEAR,MINUTE,TIMESTAMP
844,0.03504539404703153,0.05060024408589957,0.04282281906646555,2.7949007036445717,65.2666210346075,1,1663215606177
845,0.03396250342235715,0.05631613457402958,0.04513931899819336,3.0567898941588045,67.7190077741569,1,1663215606198
846,0.03247445139108968,0.06749392746722133,0.0499841894291555,2.934983511709316,58.718237611298676,1,1663215606221
847,0.04108880208051028,0.0475548077855004,0.04432180493300534,2.8534720206914854,64.38077206026816,1,1663215606244
848,0.037622434448715415,0.05016973970447918,0.0438960870765973,2.8139532480261633,64.10487666283109,1,1663215606262
849,0.031977996447913465,0.04669598473791271,0.03933699059291309,2.80937290541013,71.41809434492592,1,1663215606280
850,0.03656781058271446,0.04703572798327952,0.04180176928299699,2.9019429706545425,69.42153455296251,1,1663215606297
851,0.03705424998738846,0.05639759577224373,0.0467259228798161,2.8209847332424913,60.37301265291978,1,1663215606314
852,0.036499073774145956,0.05386020138071532,0.04517963757743064,2.9356076180348953,64.97634278282413,1,1663215606331
853,0.03622876603272923,0.05548869554395933,0.04585873078834428,2.56844833831537,56.00783742074653,1,1663215606353
854,0.03569627115291708,0.04942536805941631,0.0425608196061667,2.8428203927565305,66.79430563279449,1,1663215606372
855,0.03880379524056588,0.06454040899552331,0.0516721021180446,2.633336965525086,50.96245086970226,1,1663215606390
856,0.03591651163342571,0.06567286452559641,0.05079468807951106,2.8533747642776275,56.17466849705072,1,1663215606408
857,0.041957896115343195,0.0520801711393384,0.0470190336273408,2.8565408329363198,60.75286139601321,1,1663215606427
858,0.035851490972943066,0.04848776927499482,0.042169630123968946,2.815827295126273,66.77382008920621,1,1663215606445
859,0.03391073091652777,0.05481213331316577,0.04436143211484677,2.8971625580921305,65.30813862347144,1,1663215606464
860,0.03725859965593888,0.04532880397910204,0.04129370181752046,3.2131700439340656,77.81259374936332,1,1663215606487
861,0.03818363801687796,0.046478071212324584,0.042330854614601274,2.8574387014056772,67.50250443609174,1,1663215606508
862,0.02826284428686325,0.04537457123216721,0.036818707759515235,2.935909169584839,79.73960381122008,1,1663215606528
863,0.033767225331950354,0.04612523052345103,0.039946227927700695,2.7549506674458892,68.96647844778029,1,1663215606544
864,0.03662216371067923,0.05300872370335857,0.0448154437070189,2.7892648380902285,62.23892050082235,1,1663215606561
865,0.03854369398494793,0.0487312932637718,0.04363749362435987,2.839313722033713,65.06592121158663,1,1663215606583
866,0.033480922401004955,0.06714002705309735,0.05031047472705115,2.6778869561567094,53.22722496030934,1,1663215606605
867,0.038179105291822106,0.054053062157145795,0.04611608372448395,2.867909661024697,62.18892476123393,1,1663215606623
868,0.038066211629387815,0.061229281167618166,0.04964774639850299,3.1098136361705233,62.63755883719815,1,1663215606641
869,0.037158906179488874,0.06561963604455806,0.05138927111202347,3.210047424577464,62.465323113454595,1,1663215606657
870,0.03948720838764676,0.06341677900724965,0.051451993697448205,2.839985812402725,55.19680790413329,1,1663215606676
871,0.03990662205936012,0.06528949339822362,0.05259805772879187,2.8543934752800513,54.26803951579324,1,1663215606694
872,0.0398980362488836,0.04904294027150859,0.04447048826019609,2.7068821264960308,60.869179368081326,1,1663215606718
873,0.03437049646329783,0.045089452186619625,0.03972997432495873,2.8077999705179066,70.67208117358439,1,1663215606738
874,0.03570073921564597,0.10739449540364826,0.07154761730964712,2.8698345185190597,40.110832847149275,1,1663215606755
875,0.03583532085581054,0.05831110850575874,0.04707321468078464,2.894594962714422,61.49133817062212,1,1663215606774
876,0.040355865787293804,0.04547585165103772,0.04291585871916576,2.6364083744089903,61.43203126054655,1,1663215606794
877,0.0366957468114182,0.04348165344851723,0.040088700129967715,2.9319265601055227,73.13598471889101,1,1663215606814
878,0.04677928698266724,0.05170627761830462,0.04924278230048593,2.8351811155703013,57.57556708046376,1,1663215606831
879,0.039812549607905645,0.05054530791639657,0.045178928762151106,2.83493658289673,62.749088138444606,1,1663215606848
880,0.035966589425749665,0.07392952790599082,0.05494805866587024,2.7021599611512777,49.176622919158085,1,1663215606867
881,0.03788612321178462,0.053616563112058306,0.04575134316192146,2.8427033815285143,62.13376887029794,1,1663215606889
882,0.04780790769522089,0.0658516503914921,0.056829779043356496,2.9830581313916733,52.49110909116579,1,1663215606907
883,0.06174059996944642,0.06466694030594893,0.06320377013769768,2.9046173775722064,45.95639423477615,1,1663215606925
884,0.04421582792036457,0.051592106486939265,0.04790396720365192,2.8850554595182367,60.225814852726785,1,1663215606944
885,0.045002518668983416,0.062169200992973364,0.05358585983097839,2.788878371198056,52.04504285262554,1,1663215606961
886,0.0442534671418021,0.06544871047457813,0.05485108880819012,2.81356063964166,51.29452670448269,1,1663215606982
887,0.03563852488876865,0.060226062998973796,0.04793229394387122,2.5108228862443513,52.38269816972516,1,1663215607006
888,0.04204606774486066,0.05905302005351471,0.050549543899187685,2.7229357945811694,53.86667385192621,1,1663215607028
889,0.039684499405345464,0.06949250138005053,0.054588500392698,2.8022539457376694,51.33414410688797,1,1663215607046
890,0.03696989656241956,0.05206007198486641,0.044514984273642984,2.652313130017558,59.58247932231607,1,1663215607064
891,0.04100654923046379,0.049998339268635256,0.04550244424954952,2.498955917505231,54.919157832493156,1,1663215607082
892,0.052019571276539604,0.04708255210949293,0.04955106169301626,2.6613549128970146,53.70934187818031,1,1663215607099
893,0.056287555366797415,0.06238094223888539,0.059334248802841404,2.7084323060154945,45.64703119466801,1,1663215607120
894,0.04865398234112946,0.05299768359539293,0.050825832968261195,2.7278809140245603,53.671150175305904,1,1663215607139
895,0.0461839894976554,0.04682742527505569,0.046505707386355545,2.9580496554031046,63.60616409569928,1,1663215607156
896,0.0516711364804109,0.06953279292085511,0.060601964700633004,2.761712205278362,45.571331208829854,1,1663215607176
897,0.047708217229896474,0.04376701044509005,0.045737613837493266,2.881462481396224,62.999842790971186,1,1663215607198
898,0.041970336268903355,0.08462537364314236,0.06329785495602286,2.6656641344118337,42.113024782022144,1,1663215607216
899,0.052911434398827305,0.0660697859762493,0.059490610187538304,2.860515745284503,48.08348302811163,1,1663215607243
900,0.04269174592313351,0.05827454410823014,0.050483145015681824,2.910853053274,57.65989920734509,1,1663215607262
901,0.036980227783677565,0.05896954193232906,0.04797488485800332,2.9990569851337083,62.5130626995845,1,1663215607282
902,0.04175881122466941,0.056002134253404265,0.04888047273903684,2.9041690244465204,59.413685296198004,1,1663215607300
903,0.03799112793447046,0.05914777026792995,0.0485694491012002,2.864057937291213,58.968301891248736,1,1663215607322
904,0.05071589272171664,0.04681178362270276,0.0487638381722097,2.849312259359133,58.430844784956726,1,1663215607338
905,0.037137932860963035,0.05951541393887161,0.04832667339991732,2.6434581192964637,54.69977412724183,1,1663215607358
906,0.03758105158431054,0.05324791384732703,0.045414482715818785,2.734105734784832,60.20338824276617,1,1663215607378
907,0.041546988302652986,0.06004290034557215,0.050794944324112565,2.9477805395797603,58.032951483725455,1,1663215607401
908,0.044821820255286186,0.05022739930492715,0.04752460978010667,2.9251073546942403,61.549318726203644,1,1663215607427
909,0.047558634078923856,0.05954875912171933,0.053553696600321596,2.6781523129763176,50.00872923794088,1,1663215607447
910,0.040893194542592035,0.05572660925844373,0.048309901900517885,2.4740333216094283,51.21172315158244,1,1663215607465
911,0.05000704603437896,0.04934420744685713,0.04967562674061804,2.8504230958019527,57.380717322108,1,1663215607483
912,0.04863871985161322,0.05266638450992817,0.050652552180770694,2.813740060480376,55.549818110617544,1,1663215607504
913,0.040749819078401896,0.05601058266421291,0.0483802008713074,2.7347411978538574,56.52604058276526,1,1663215607526
914,0.04935503116049716,0.06938586348320776,0.059370447321852454,2.708277425125825,45.61659120477926,1,1663215607545
915,0.05740045328067046,0.06695755199269268,0.06217900263668157,2.9246435984832595,47.035871829148796,1,1663215607565
916,0.03637630628051659,0.05866610898272503,0.04752120763162081,2.6655093801044862,56.090943663873674,1,1663215607582
917,0.03428001579158363,0.05381004129059956,0.044045028541091595,2.733162293878925,62.0538204744046,1,1663215607603
918,0.04359599181365029,0.0555763685064533,0.04958618016005179,2.6514982075730407,53.47252397774274,1,1663215607623
919,0.0465870682445343,0.06470825511502433,0.05564766167977932,2.821784969114625,50.70806003228662,1,1663215607638
920,0.0925153929734412,0.05351102785554803,0.07301321041449461,2.7864071989689214,38.16305546832608,1,1663215607658
921,0.08541166009767301,0.05554062482260555,0.07047614246013928,2.6944632152766963,38.232274372858335,1,1663215607681
922,0.03524398062281766,0.06148394462827024,0.048363962625543946,2.7229261120476855,56.30072401489995,1,1663215607704
923,0.04086767347543014,0.06458059139266809,0.05272413243404911,2.9634727891151,56.20714182110082,1,1663215607726
924,0.04469072810886488,0.07020984921241302,0.05745028866063895,2.6794472525579045,46.63940451867008,1,1663215607746
925,0.04718032927283834,0.0551509581725382,0.05116564372268827,2.612403623512756,51.057769109124756,1,1663215607764
926,0.04609552426860932,0.08061029082961305,0.06335290754911119,2.645693323768926,41.76119812209067,1,1663215607782
927,0.03929723445531966,0.057064657436317466,0.048180945945818565,2.8020677306653314,58.15717553192855,1,1663215607803
928,0.05060592601115749,0.05796499769304123,0.054285461852099356,2.857386578386594,52.6363133129739,1,1663215607825
929,0.0545529336418763,0.05819012175535079,0.05637152769861355,2.908016657247291,51.58662140211633,1,1663215607847
930,0.05075188010606356,0.053896969883410625,0.05232442499473709,2.620402610725627,50.0799122205202,1,1663215607864
931,0.0407562643129719,0.06265847015312016,0.05170736723304603,2.4749460427790404,47.86447609340492,1,1663215607881
932,0.042763365743952744,0.05575955603288154,0.04926146088841714,2.6103934109545244,52.99058054464452,1,1663215607898
933,0.04756427436850203,0.0509517112928098,0.04925799283065592,2.579906078640263,52.375379717759174,1,1663215607915
934,0.043527511602553866,0.07243324374293096,0.05798037767274242,2.6471137870882746,45.65533881185339,1,1663215607932
935,0.044910672401663396,0.07069765487765188,0.05780416363965764,2.6922936383128033,46.57611958709674,1,1663215607956
936,0.04616599460819356,0.07229774802042069,0.05923187131430713,2.7674005647087894,46.72147786828979,1,1663215607976
937,0.052731357359110935,0.0566187122771728,0.05467503481814187,2.6401302098779715,48.28767313380737,1,1663215607997
938,0.0651904416359189,0.06475342473857458,0.06497193318724674,2.6286950647616814,40.45893258533462,1,1663215608014
939,0.04015085028229166,0.054680782489180936,0.0474158163857363,2.7210271186981227,57.386486748684696,1,1663215608032
940,0.04207323617504206,0.06529399803634645,0.05368361710569425,2.573324754210348,47.93501058514543,1,1663215608050
941,0.03908286830131606,0.05641847597489179,0.047750672138103925,2.656578430661295,55.63436726038056,1,1663215608071
942,0.04520451058170292,0.056501999182975604,0.05085325488233926,2.699993921072923,53.09382707793202,1,1663215608092
943,0.04955523690866266,0.05740864907332529,0.05348194299099397,2.603108717623491,48.67266542769096,1,1663215608113
944,0.04745786431392816,0.057349929817775404,0.05240389706585178,2.632380573053144,50.23253460988297,1,1663215608132
945,0.04098500888510793,0.058792241979938695,0.049888625432523315,2.4183873637538755,48.47572653660015,1,1663215608151
946,0.04270812359527433,0.06264091081467146,0.0526745172049729,2.7781626652297735,52.74206224651439,1,1663215608171
947,0.049593008948767156,0.05279966661773319,0.051196337783250175,2.7411942722652127,53.54278042055666,1,1663215608190
948,0.04865322117414683,0.07895334463229892,0.06380328290322287,2.506231164987129,39.28059891194928,1,1663215608213
949,0.048687686103807255,0.06839247939046031,0.05854008274713378,2.368481828056689,40.459147252788156,1,1663215608233
950,0.05210961020328442,0.06230838382363706,0.057208997013460744,2.643127525199635,46.20125615168068,1,1663215608255
951,0.03654613653316042,0.07420020979239496,0.05537317316277769,2.736087021139351,49.41177947480481,1,1663215608277
952,0.04248997661624651,0.08890098650282074,0.06569548155953363,2.6876388123621506,40.910558056060474,1,1663215608297
953,0.04261554621106199,0.09757618826921333,0.07009586724013767,2.7167952322300803,38.758279755962754,1,1663215608314
954,0.04355063515762717,0.05653166722951633,0.05004115119357175,2.554870784654052,51.05539588350336,1,1663215608336
955,0.03800814737918835,0.06110732322443442,0.04955773530181139,2.688811808572505,54.25614774761965,1,1663215608357
956,0.04217359367751851,0.05755243642468494,0.049863015051101724,2.695827025864172,54.06466141490591,1,1663215608380
957,0.0449870202590473,0.07295051450522455,0.058968767382135925,2.997319079945479,50.82892542965873,1,1663215608398
958,0.049574743503574624,0.08726777070201827,0.06842125710279645,2.6618284917051493,38.903530926156535,1,1663215608415
959,0.046542972395990666,0.06264381948628173,0.0545933959411362,2.4745042218787563,45.326072489552054,1,1663215608432
960,0.04690796685515033,0.07657637685606349,0.0617421718556069,2.743642218552025,44.437086291172804,1,1663215608451
961,0.041968670658525824,0.07490962365147365,0.05843914715499973,2.6317018440765696,45.03320072581545,1,1663215608471
962,0.043826204682938005,0.06092735792486856,0.05237678130390328,2.6946714285320845,51.44782404433984,1,1663215608492
963,0.044375178317544964,0.07269557014690613,0.058535374232225545,2.735240490103775,46.727991850745525,1,1663215608514
964,0.08466229971823311,0.08359663911552233,0.08412946941687771,2.610804623352307,31.033175906711925,1,1663215608532
965,0.13671808203259256,0.11894290049911485,0.12783049126585372,2.7134717750122603,21.227109026507254,1,1663215608554
966,0.14823207382826079,0.11170639303070751,0.12996923342948413,2.7557934257883883,21.20342909680672,1,1663215608571
967,0.23746590589845235,0.10587016327956388,0.17166803458900812,2.5890541045459576,15.081748391565348,1,1663215608591
968,0.2565499509975088,0.1502379350067948,0.2033939430021518,2.925355282932988,14.382705992882192,1,1663215608615
969,0.2795390639006963,0.22336798285182327,0.2514535233762598,2.733751528123886,10.871796471243977,1,1663215608637
970,0.27982133660065106,0.25406221509218346,0.26694177584641726,2.8029123997137355,10.5000889831735,1,1663215608659
971,0.316548746159168,0.2614807482975249,0.2890147472283464,2.6068018704251528,9.019615419020663,1,1663215608679
972,0.31195171005479,0.2618894883025063,0.28692059917864815,2.5241243093932164,8.797292061353868,1,1663215608698
973,0.3090878355865702,0.2670296988587271,0.28805876722264867,2.7949419043501993,9.702679530631714,1,1663215608716
974,0.3198002579609041,0.28415983104513975,0.30198004450302196,2.7933838819676193,9.250226737878586,1,1663215608740
975,0.32399567406931884,0.2911310511952548,0.3075633626322868,2.7701260483203005,9.006684101162522,1,1663215608762
976,0.3410530024705937,0.2906900164973824,0.31587150948398807,2.8543573913007596,9.03645091627186,1,1663215608781
977,0.3301174139695129,0.2883709255367017,0.3092441697531073,3.028750750729476,9.79404317678019,1,1663215608799
978,0.3422573102099814,0.2976727879846874,0.31996504909733436,2.948610949627862,9.21541573977002,1,1663215608820
979,0.34317733814603185,0.30514598769301043,0.32416166291952114,2.663604216623739,8.216900766840604,1,1663215608837
980,0.3552500073456688,0.3071134924394828,0.3311817498925758,2.6995220243965625,8.151179904303895,1,1663215608865
981,0.3570400928800977,0.3131166619431111,0.3350783774116044,2.7970239469881415,8.34737224345672,1,1663215608886
982,0.36285617712354234,0.3121926499197618,0.3375244135216521,2.8731877840613227,8.512533224139677,1,1663215608909
983,0.36733570568237517,0.303466169772048,0.3354009377272116,2.9984099825747395,8.939778173826715,1,1663215608929
984,0.3740242176189162,0.31955381262018023,0.3467890151195482,2.8794838079530036,8.303272832792477,1,1663215608947
985,0.3755239147952966,0.32361936770504834,0.3495716412501725,2.730447137533149,7.810837079827916,1,1663215608965
986,0.3900718288362313,0.3274392194180399,0.3587555241271356,2.627016905522076,7.322582451973937,1,1663215608989
987,0.38763924011268036,0.3308753637221018,0.3592573019173911,2.583102207357891,7.19011748285038,1,1663215609008
988,0.39923360561568977,0.33319779532271615,0.36621570046920293,2.752964797904593,7.517331437121453,1,1663215609030
989,0.40077666879401636,0.3360557761247014,0.3684162224593589,2.4736001598352324,6.7141456022830335,1,1663215609048
990,0.38992321618902037,0.32985048403822703,0.3598868501136237,2.6723472786154856,7.425520765128735,1,1663215609069
991,0.38330285065761643,0.33408805215587445,0.3586954514067454,2.677299077752913,7.463989485378139,1,1663215609091
992,0.3867820147353201,0.3242154452163396,0.3554987299758299,2.6441703267731955,7.437917786521968,1,1663215609110
993,0.3768204568723647,0.32093481083773767,0.3488776338550512,2.5177010988069184,7.21657353320893,1,1663215609131
994,0.39118675956934773,0.3334405066629809,0.3623136331161643,2.640295649003405,7.287320728990836,1,1663215609150
995,0.396471283671079,0.32912808658296555,0.36279968512702226,2.51454152760219,6.93093635602745,1,1663215609172
996,0.3830342202135621,0.32612626960555563,0.35458024490955886,2.6120006394901307,7.366458444847545,1,1663215609193
997,0.3811918445970597,0.3200685780734413,0.3506302113352505,2.455818845267155,7.004013818190515,1,1663215609221
998,0.3865346270608823,0.30925206667739635,0.3478933468691393,2.8002010541359774,8.049021573238875,1,1663215609238
999,0.3785143825975216,0.30842060244388175,0.3434674925207017,2.8613909740551877,8.33089313068754,1,1663215609259
