FN,EAR_L,EAR_R,EAR,p1,p2,p3,p4,p5,p6
102,0.03709183412967815,0.027805197687324652,0.032448515908501396,[0.5943259 0.5466814],[0.61465007 0.54988998],[0.63603938 0.55329752],[0.65341461 0.55319417],[0.6342237  0.55392694],[0.612387   0.55092442]
103,0.04305233021004602,0.05679357009772698,0.0499229501538865,[0.59545189 0.54672945],[0.61521345 0.54906619],[0.63587397 0.55214292],[0.6525923  0.55197775],[0.6340664  0.55326498],[0.6129514  0.55073875]
104,0.09387667114618174,0.1414607669103669,0.11766871902827433,[0.59521675 0.54687047],[0.61517769 0.54415345],[0.63460332 0.54630965],[0.64930677 0.54942131],[0.6329276  0.55047774],[0.6131615  0.54945773]
105,0.15032793683519402,0.16111378078030267,0.15572085880774833,[0.59700793 0.54317671],[0.61645043 0.5367046 ],[0.6350137  0.53812456],[0.64856285 0.54328161],[0.63291907 0.54512256],[0.61433047 0.54462123]
106,0.299325961498686,0.23968645799802327,0.26950620974835465,[0.5938679  0.53997386],[0.61588913 0.52767032],[0.63632768 0.53014618],[0.64839906 0.53847164],[0.63373256 0.54522943],[0.61359483 0.54487067]
107,0.3744294049745094,0.27516788302219825,0.3247986439983538,[0.59360915 0.5406847 ],[0.61582112 0.5245654 ],[0.63693309 0.52627718],[0.64894354 0.53627855],[0.63463008 0.54586929],[0.61403251 0.54633385]
108,0.40038237373478563,0.30661165964645665,0.35349701669062117,[0.59436893 0.54047179],[0.61629367 0.52280086],[0.63718915 0.52455878],[0.64862657 0.53563815],[0.63430512 0.54510254],[0.61415577 0.5455752 ]
109,0.40825715238543087,0.31647997411279877,0.3623685632491148,[0.59424645 0.54082483],[0.61603129 0.52268988],[0.63708889 0.5240196 ],[0.64868671 0.53461033],[0.63414651 0.54520541],[0.61385584 0.54593909]
110,0.4118913207220736,0.31538545478954394,0.36363838775580876,[0.59442145 0.54041541],[0.61651647 0.52200288],[0.63800669 0.52365303],[0.64976764 0.53486121],[0.63500857 0.54538232],[0.61441636 0.54579747]
111,0.41678819014840296,0.3276930149289499,0.3722406025386764,[0.59453315 0.54141891],[0.61604196 0.52213675],[0.63729185 0.52310628],[0.64919049 0.53423458],[0.63427258 0.54496729],[0.61391413 0.54592621]
112,0.4229088183766242,0.32772506266150375,0.37531694051906395,[0.59411329 0.54002482],[0.616027  0.5215643],[0.63717633 0.52303833],[0.64872706 0.53383023],[0.63418627 0.54506814],[0.61380351 0.54571986]
113,0.4196767064973467,0.32964867978694434,0.3746626931421455,[0.59403491 0.54036856],[0.61603558 0.52142113],[0.63746482 0.52261537],[0.64920664 0.53354174],[0.63436127 0.5448339 ],[0.61376488 0.545542  ]
114,0.41440078248721396,0.32962063187678636,0.37201070718200013,[0.59421188 0.54041767],[0.61603284 0.52153409],[0.63741356 0.52293223],[0.64920241 0.53417593],[0.634354   0.54467565],[0.61395842 0.5453552 ]
115,0.41129334825506364,0.3342171358307792,0.37275524204292143,[0.59401047 0.53992069],[0.61570299 0.52151102],[0.63696986 0.52273744],[0.64882052 0.53355944],[0.63416177 0.54425961],[0.61372602 0.54511243]
116,0.4225052536338835,0.3218369138320213,0.3721710837329524,[0.5939585  0.54038441],[0.61565065 0.52157915],[0.63685983 0.52275622],[0.64870083 0.53387582],[0.63393849 0.54492235],[0.61353409 0.54571235]
117,0.4155324867001749,0.32709458829944926,0.3713135374998121,[0.59391171 0.54025507],[0.61558568 0.52161521],[0.63686097 0.52293789],[0.64877987 0.5338248 ],[0.63408417 0.5447427 ],[0.6136353  0.54546577]
118,0.3930790798227299,0.311283200564191,0.3521811401934605,[0.593602  0.5388754],[0.6158638  0.52163005],[0.63712114 0.52310574],[0.64922988 0.53372812],[0.63455832 0.54401237],[0.61383665 0.54439598]
119,0.4261292711832078,0.34023987459671184,0.38318457288995983,[0.59575921 0.53955621],[0.6185326  0.52090341],[0.63968086 0.52237713],[0.65152222 0.53409338],[0.63638216 0.54546332],[0.61572075 0.54517239]
120,0.4214246778140126,0.37320599870945487,0.3973153382617337,[0.59732378 0.54028505],[0.6199466 0.5221864],[0.64082515 0.52298176],[0.65271497 0.53384495],[0.63731718 0.54603469],[0.61679751 0.54565871]
121,0.44669921686414377,0.37872542875055876,0.41271232280735126,[0.5988487  0.54018581],[0.6211952  0.52118915],[0.64185464 0.5219301 ],[0.65333956 0.53303564],[0.63785088 0.5461607 ],[0.61767805 0.54547602]
122,0.4326861986584467,0.3705210013461882,0.40160360000231743,[0.60095125 0.53871906],[0.62388408 0.52043909],[0.6450696  0.52138609],[0.65649617 0.53233331],[0.64089644 0.54513574],[0.62027693 0.54443967]
123,0.42677034180192785,0.3421776222090203,0.3844739820054741,[0.60318172 0.53845352],[0.62651533 0.52049392],[0.64780301 0.52146178],[0.65902197 0.53188205],[0.6435889  0.54489052],[0.62282902 0.54439747]
124,0.4546153533487972,0.3693966443276041,0.41200599883820066,[0.60789287 0.53744876],[0.63007867 0.51933199],[0.65037084 0.52049983],[0.66135216 0.53101212],[0.64657736 0.54441863],[0.62665725 0.54383439]
125,0.4485833429297187,0.3639383332132751,0.40626083807149693,[0.6113143  0.53649902],[0.63416445 0.51812482],[0.65529728 0.51905417],[0.66585922 0.5298382 ],[0.65135622 0.54312736],[0.63072723 0.54279226]
126,0.41865116839243083,0.3613759288223207,0.3900135486073758,[0.61601937 0.53585696],[0.63814735 0.51864761],[0.6589818  0.51895285],[0.66914523 0.52883708],[0.65565151 0.54086637],[0.63525969 0.54116714]
127,0.43521956491112535,0.3226504245899073,0.3789349947505163,[0.62264675 0.53624892],[0.64321798 0.52056944],[0.66290265 0.52070284],[0.67223895 0.53006828],[0.65984172 0.54206884],[0.64045912 0.54231191]
