FN,EAR_L,EAR_R,EAR,P1,P2,P3,P4,P5,P6,NOSE_x,NOSE_y,TIMESTAMP
91,0.18309216740377454,0.2943737235455016,0.23873294547463808,[0.4481273  0.33983469],[0.46876556 0.33126575],[0.48975185 0.33103994],[0.50503153 0.33529282],[0.48753136 0.34091583],[0.46714577 0.34192464],0.38863199949264526,0.3977011442184448,1663311798784
92,0.20224125308736188,0.2906709809548895,0.2464561170211257,[0.44486007 0.33778912],[0.46377537 0.32908636],[0.48325294 0.32955024],[0.4979783  0.33419082],[0.48069575 0.33955815],[0.46192223 0.34013724],0.3825102746486664,0.39140236377716064,1663311798800
93,0.19833360643472686,0.30032061512927555,0.2493271107820012,[0.44450197 0.34077972],[0.46371406 0.3322117 ],[0.48342445 0.33288005],[0.49846172 0.33750668],[0.48095125 0.3427811 ],[0.46188167 0.34329945],0.3822685778141022,0.39532944560050964,1663311798816
94,0.19143955947623506,0.2912554435990625,0.24134750153764878,[0.4387345  0.34734568],[0.45855859 0.3385002 ],[0.47930714 0.33827674],[0.49479789 0.34245461],[0.47694999 0.34851548],[0.45683852 0.34940585],0.3779178857803345,0.40251144766807556,1663311798832
95,0.18181914771792,0.26691485060166514,0.22436699915979258,[0.44087783 0.34456325],[0.46039778 0.33641109],[0.48069623 0.33611295],[0.49620393 0.33983383],[0.47843748 0.34571987],[0.45860606 0.34657758],0.381832093000412,0.402180016040802,1663311798847
96,0.20448906049955784,0.28734044096885664,0.24591475073420724,[0.43834919 0.34010464],[0.45850134 0.33096319],[0.47921693 0.330787  ],[0.49454218 0.33558533],[0.47636476 0.34179792],[0.45632586 0.34244043],0.3760831356048584,0.39778584241867065,1663311798863
97,0.1791602366637893,0.3030535466663016,0.24110689166504545,[0.4384574  0.34173796],[0.45785213 0.33335945],[0.47775984 0.33275247],[0.49322134 0.336889  ],[0.4759219 0.3422628],[0.45640209 0.34326741],0.37417978048324585,0.3956739008426666,1663311798879
98,0.19227309855483626,0.2932192142068959,0.24274615638086608,[0.44176567 0.34256518],[0.46048018 0.33378318],[0.48018798 0.33310366],[0.49556535 0.33738172],[0.47840738 0.34319162],[0.4592455  0.34425098],0.3777708113193512,0.3963255286216736,1663311798894
99,0.20758100822307807,0.28767637856447975,0.2476286933937789,[0.44596145 0.33485383],[0.46621254 0.32529306],[0.48748103 0.32488963],[0.50331712 0.32975116],[0.48506072 0.33638686],[0.46434847 0.33730602],0.3829996585845947,0.3915044963359833,1663311798910
100,0.1796964639617865,0.30156459931556745,0.24063053163867698,[0.44563645 0.33156499],[0.46546453 0.32318169],[0.48587909 0.32285744],[0.50188726 0.32728824],[0.48405513 0.33254343],[0.46390522 0.33348259],0.38202953338623047,0.38668954372406006,1663311798925
101,0.19662497830399892,0.30043899634859683,0.2485319873262979,[0.44585723 0.32932514],[0.46580207 0.32023969],[0.4866707  0.31980398],[0.50242043 0.32459289],[0.48443168 0.33058468],[0.46412516 0.33142513],0.38102325797080994,0.38474196195602417,1663311798941
102,0.19637496372737076,0.3447545718772868,0.2705647678023288,[0.44030777 0.33056679],[0.45916003 0.32104552],[0.47905874 0.32020161],[0.49455079 0.32472914],[0.47754103 0.3305819 ],[0.45809013 0.33192936],0.37724199891090393,0.38408520817756653,1663311798957
103,0.1896291337479247,0.3864223704802993,0.288025752114112,[0.43614018 0.33247253],[0.45505396 0.32316291],[0.47544071 0.32212171],[0.49132243 0.32664773],[0.47463024 0.3324362 ],[0.45473501 0.33385646],0.37335139513015747,0.3856610059738159,1663311798973
104,0.19089023373187222,0.2744066412410555,0.23264843748646385,[0.43358555 0.33767027],[0.45291564 0.32788149],[0.4731251  0.32672751],[0.48823661 0.33073926],[0.47153497 0.33681646],[0.45182273 0.33864447],0.3725227117538452,0.3934254050254822,1663311798989
105,0.19321572895211267,0.2415913159087721,0.21740352243044236,[0.43922687 0.33474046],[0.45883739 0.32476702],[0.47949734 0.32367671],[0.49532998 0.32820401],[0.47771585 0.33420837],[0.45776758 0.33586094],0.3766300678253174,0.3923413157463074,1663311799006
106,0.21565208078332562,0.1848174080064591,0.20023474439489236,[0.45219326 0.33253828],[0.47433177 0.32470649],[0.49497548 0.32551181],[0.51039773 0.3299228 ],[0.49015534 0.33702129],[0.46928436 0.33630711],0.391914427280426,0.39465388655662537,1663311799022
