FN,EAR_L,EAR_R,EAR,p1,p2,p3,p4,p5,p6
99,0.4055520522788359,0.34018925645266007,0.37287065436574796,[0.6025815  0.46418327],[0.63307184 0.44446695],[0.6607604  0.44847715],[0.67469925 0.46125668],[0.65583801 0.47582874],[0.6287024 0.4749071]
100,0.39778918435630145,0.34881138312354504,0.37330028373992324,[0.60391998 0.46502841],[0.63399446 0.44544369],[0.66102797 0.44899994],[0.67513394 0.46146452],[0.65648425 0.47556871],[0.62982649 0.47492319]
101,0.3977488931708381,0.35884564311649914,0.3782972681436686,[0.60400778 0.46431953],[0.63454229 0.44500571],[0.66191924 0.44893253],[0.67595655 0.46135837],[0.65701568 0.47574335],[0.63006127 0.47469747]
102,0.40643418048072805,0.3454234370235985,0.3759288087521633,[0.60400617 0.46438372],[0.63446987 0.44434035],[0.66185451 0.44813907],[0.67583948 0.46083239],[0.65707529 0.47549564],[0.63011616 0.47472143]
103,0.3881958187258625,0.3468769281778059,0.3675363734518342,[0.60486257 0.46561235],[0.63498175 0.44784606],[0.66164052 0.45148259],[0.67567581 0.46273315],[0.65763813 0.47724682],[0.63088053 0.47650507]
104,0.393631390708752,0.33985106263645637,0.3667412266726042,[0.60627484 0.4659262 ],[0.6362009  0.44738415],[0.66294277 0.45110637],[0.67705852 0.46296212],[0.65843505 0.47729155],[0.63191438 0.47627169]
105,0.39386158800694865,0.346945963018841,0.37040377551289483,[0.60800165 0.46612978],[0.63765419 0.44784266],[0.66434813 0.45148641],[0.67832708 0.46292743],[0.66002661 0.47748759],[0.63358897 0.47665378]
106,0.39400396852959185,0.33796744637879655,0.36598570745419423,[0.6092574  0.46584919],[0.63865674 0.44850227],[0.66478139 0.45261681],[0.67833465 0.46353871],[0.66030753 0.47802287],[0.63415462 0.47681344]
107,0.3897040858498378,0.3434325724471295,0.36656832914848364,[0.61020935 0.46727359],[0.63896257 0.45010003],[0.66417426 0.45386463],[0.67763507 0.46436208],[0.66002172 0.47838682],[0.63463849 0.47749066]
108,0.4007995428824346,0.3360296305148129,0.3684145866986237,[0.61329257 0.46835166],[0.64233458 0.45021752],[0.66845924 0.45347264],[0.68171626 0.46427226],[0.66427177 0.47944692],[0.63825756 0.47856191]
109,0.3973387893612492,0.34649397432870116,0.3719163818449752,[0.61671567 0.46916315],[0.64594305 0.4507871 ],[0.67229426 0.45397961],[0.68575269 0.4649235 ],[0.66776425 0.48007518],[0.64151949 0.47892115]
110,0.40714979955690556,0.3522042369002208,0.37967701822856315,[0.62000436 0.47053877],[0.64886594 0.45103562],[0.6750918  0.45376474],[0.68847358 0.46463072],[0.67055941 0.48029095],[0.64461935 0.47977456]
111,0.4104065822817492,0.336202257027312,0.3733044196545306,[0.62317067 0.47004858],[0.65176165 0.45098799],[0.67781734 0.45358697],[0.69066757 0.46439362],[0.67322475 0.48000854],[0.64732146 0.47942209]
112,0.4125982319604602,0.3431729295555498,0.377885580758005,[0.62483448 0.46996477],[0.65394151 0.45080191],[0.68034184 0.4536882 ],[0.69263953 0.46490446],[0.67521662 0.48026657],[0.64899683 0.47941792]
113,0.39458290070661195,0.3390452679762206,0.36681408434141627,[0.62649226 0.46877927],[0.65621901 0.45189595],[0.68259203 0.45570785],[0.69467318 0.46622705],[0.67751575 0.48100337],[0.65101689 0.47945312]
114,0.4181105498394101,0.3313020375075436,0.37470629367347685,[0.62845689 0.47001714],[0.65832072 0.45062476],[0.68511295 0.4540185 ],[0.69710839 0.46567744],[0.68019819 0.48109487],[0.65341842 0.48022518]
115,0.40141047268894725,0.33800836086339575,0.36970941677617153,[0.63399535 0.46970552],[0.66204619 0.45289952],[0.68720955 0.45596343],[0.69899827 0.46580541],[0.68319851 0.4806909 ],[0.65782404 0.47979906]
116,0.40515895096886634,0.33318146894937534,0.36917020995912087,[0.63746411 0.46907222],[0.66532367 0.45236516],[0.69061112 0.45532718],[0.70243025 0.464643  ],[0.6863814 0.4803057],[0.66097057 0.47944888]
